window,latency_ms,arm,n_fills,pnl_gross_usd,notional_usd,killed,pnl_edge_usd,pnl_inventory_usd,inv_abs_mean_btc,inv_max_abs_btc,eff_half_spread_ticks,postfill_500ms_ticks,postfill_100ms_ticks,fill_rate_orders,quote_lifetime_s,sharpe_1s,max_drawdown_usd,touch_fidelity,pnl_net_A_0bps_usd,pnl_net_A_0bps_bps,pnl_net_B_1/2.5bps_usd,pnl_net_B_1/2.5bps_bps,pnl_gross_bps
6,10.0,adaptive_inventory,39,-0.20350308050007015,1992.4431456060001,0.0,0.029207653500000003,-0.23271073400007017,0.0021901285227693447,0.00480425,11.870332513871848,-45.850093007320694,-42.46589860271589,0.1956521739130435,3.824569999999999,-0.11864244438531124,0.20350308050007015,nan,-0.20350308050007015,-1.021374592037229,-0.40274739506067014,-2.021374592037229,-1.021374592037229
6,10.0,adaptive_full,24,-0.03244614100000831,1183.877520122,0.0,0.017313499500000003,-0.04975964050000831,0.0007899493780081452,0.0019,11.84209592142432,-50.653341244707704,-46.26217280083172,0.07177033492822966,2.501077198067633,-0.04212933544986627,0.04409499999999866,nan,-0.03244614100000831,-0.2740667041018288,-0.15083389301220834,-1.274066704101829,-0.2740667041018288
7,0.0,AS_scaled,70,-0.28869529750011225,3858.8590615689996,0.0,0.08811663950000001,-0.3768119370001123,0.004499492893175075,0.01,18.486185392125783,-51.444140199105405,-42.0028856919818,0.054003724394785846,0.48368138992537313,-0.06768943368306032,0.4314728390000937,nan,-0.28869529750011225,-0.7481364125870139,-0.6745812036570122,-1.748136412587014,-0.7481364125870139
7,0.0,adaptive_off,69,-0.23963754649992097,3660.43333857,0.0,0.07962913,-0.31926667649992096,0.004984312997032641,0.01,17.61113793345204,-52.11793962695297,-42.2312484007041,0.23376623376623376,2.157873458515284,-0.0524366075261045,0.4397326549998155,nan,-0.23963754649992097,-0.6546698828656684,-0.605680880356921,-1.6546698828656685,-0.6546698828656684
7,0.0,adaptive_inventory,84,-0.4921321575001798,3774.1149240170002,0.0,0.085903147,-0.5780353045001798,0.003784403308605341,0.00793266,18.427496464259796,-46.627507168548355,-35.97716715186339,0.26394052044609667,1.9715152621722847,-0.13742279529489093,0.5990491565001594,nan,-0.4921321575001798,-1.3039670688575011,-0.8695436499018798,-2.303967068857501,-1.3039670688575011
7,0.0,adaptive_full,40,-0.2054832464999663,1802.9220153310002,0.0,0.060064147500000005,-0.2655473939999663,0.0010854114725519287,0.00310373,26.968783969633254,-41.61285315509841,-29.585266389274654,0.09407665505226481,1.852982456140351,-0.1853654594864736,0.22402515299994974,nan,-0.2054832464999663,-1.1397234309230033,-0.3857754480330663,-2.139723430923003,-1.1397234309230033
7,10.0,AS_scaled,64,-0.09387369999997475,3023.6523539960003,0.0,0.041958831,-0.13583253099997475,0.0028248139762611273,0.01,11.233945398719786,-52.64492327183585,-40.782103847813815,0.05227882037533512,0.7157025766129032,-0.02831880073756356,0.3719423149999077,nan,-0.09387369999997475,-0.31046459384099856,-0.3962389353995748,-1.3104645938409984,-0.31046459384099856
7,10.0,adaptive_off,63,-0.0313262060000028,2861.76050149,0.0,0.041382578,-0.0727087840000028,0.002979858486646884,0.01,11.706515183575464,-54.00425346053357,-42.17748381614278,0.18316831683168316,2.6215700999999996,-0.009294031158845726,0.3731948209997942,nan,-0.0313262060000028,-0.10946480665902175,-0.3175022561490028,-1.1094648066590216,-0.10946480665902175
7,10.0,adaptive_inventory,55,-0.3691527664998233,2769.9343471700004,0.0,0.039984373000000004,-0.40913713949982333,0.002517039962908012,0.00692216,11.6858051700087,-54.782404031541795,-40.75325905660449,0.19095477386934673,2.666316015228426,-0.14271312844157721,0.42551513349987324,nan,-0.3691527664998233,-1.3327130546504868,-0.6461462012168233,-2.3327130546504864,-1.3327130546504868
7,10.0,adaptive_full,31,-0.15525772750001465,1587.5222904710001,0.0,0.036794053,-0.19205178050001465,0.0020973120511869436,0.00504437,18.7616115157804,-60.240855677961996,-45.737313596463274,0.06688963210702341,1.7765638619528619,-0.07697766373404029,0.3056829345000409,nan,-0.15525772750001465,-0.9779877009093927,-0.31400995654711467,-1.9779877009093925,-0.9779877009093927
